indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
288;FGA0232 - INTEGRAÇÃO E TESTES;1;2022;2;HENRIQUE GOMES DE MOURA;60h;24M34;45;10;FGA - SALA I1 E S7;;;I1;;;;
289;FGA0232 - INTEGRAÇÃO E TESTES;1;2022;2;HENRIQUE GOMES DE MOURA;60h;24M34;45;10;FGA - SALA I1 E S7;;;S7;;;;
290;FGA0233 - SENSORES E TRANSDUTORES;1;2022;2;RAFAEL RODRIGUES DA SILVA;60h;24T45;16;7;FGA - SALA I3;;;I3;;;;
291;FGA0235 - TÓPICOS ESPECIAIS 1 EM ENGENHARIA DE ENERGIA;1;2022;2;LUCIANO GONCALVES NOLETO;60h;2T2345;10;7;FGA - LAB TERMODINÂMICA;;;Lab.Termodin.;;;;
292;FGA0238 - TESTES DE SOFTWARE;1;2022;2;ELAINE VENSON;60h;24T45;50;21;FGA - SALA S7 E MOCAP;;;S7;;;;
293;FGA0238 - TESTES DE SOFTWARE;1;2022;2;ELAINE VENSON;60h;24T45;50;21;FGA - SALA S7 E MOCAP;;;Mocap;;;;
294;FGA0238 - TESTES DE SOFTWARE;2;2022;2;ELAINE VENSON;60h;24T23;72;66;FGA - SALA S9 E MOCAP;;;S9;;;;
295;FGA0238 - TESTES DE SOFTWARE;2;2022;2;ELAINE VENSON;60h;24T23;72;66;FGA - SALA S9 E MOCAP;;;Mocap;;;;
296;FGA0240 - GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE;1;2022;2;CARLA SILVA ROCHA AGUIAR;60h;35T45;51;48;FGA - SALA I8;;;I8;;;;
297;FGA0240 - GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE;2;2022;2;RENATO CORAL SAMPAIO;60h;35T45;55;46;FGA - SALA MOCAP e Lab SS;;;Mocap;;;;
298;FGA0242 - TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES;1;2022;2;ANDRE LUIZ PERON MARTINS LANNA;60h;24T45;40;39;FGA - SALA I2 E I7;;;I2;;;;
299;FGA0242 - TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES;1;2022;2;ANDRE LUIZ PERON MARTINS LANNA;60h;24T45;40;39;FGA - SALA I2 E I7;;;I7;;;;
300;FGA0242 - TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES;2;2022;2;ANDRE LUIZ PERON MARTINS LANNA;60h;24M5 24T1;44;44;FGA - I6;;;I6;;;;
301;FGA0244 - PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS;1;2022;2;FERNANDO WILLIAM CRUZ;60h;24T23;55;32;FGA - SALA S5 E S6;;;S5;;;;
302;FGA0244 - PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS;1;2022;2;FERNANDO WILLIAM CRUZ;60h;24T23;55;32;FGA - SALA S5 E S6;;;S6;;;;
303;FGA0250 - PROJETO INTEGRADOR DE ENGENHARIA 2;1;2022;2;ALEX REIS;90h;4T45 6T2345;35;32;FGA - SALA S-1 e ANFITEATRO;;;S1;;;;
304;FGA0250 - PROJETO INTEGRADOR DE ENGENHARIA 2;1;2022;2;ALEX REIS;90h;4T45 6T2345;35;32;FGA - SALA S-1 e ANFITEATRO;;;Anfiteatro;;;;
305;FGA0250 - PROJETO INTEGRADOR DE ENGENHARIA 2;2;2022;2;RHANDER VIANA;90h;4T45 6T2345;130;18;FGA - SALA S-1 e ANFITEATRO;;;S1;;;;
306;FGA0250 - PROJETO INTEGRADOR DE ENGENHARIA 2;2;2022;2;RHANDER VIANA;90h;4T45 6T2345;130;18;FGA - SALA S-1 e ANFITEATRO;;;Anfiteatro;;;;
307;FGA0250 - PROJETO INTEGRADOR DE ENGENHARIA 2;3;2022;2;ARTUR ELIAS DE MORAIS BERTOLDI;90h;4T45 6T2345;35;10;FGA - SALA S-1 e ANFITEATRO;;;S1;;;;
308;FGA0250 - PROJETO INTEGRADOR DE ENGENHARIA 2;3;2022;2;ARTUR ELIAS DE MORAIS BERTOLDI;90h;4T45 6T2345;35;10;FGA - SALA S-1 e ANFITEATRO;;;Anfiteatro;;;;
